University,Engineering Major,Median 1-Year Salary,Median 5-Year Salary,Median 15-Year Salary
University of California Irvine,Environmental Engineering,60000,75000,N/A
University of California Irvine,Materials Science & Engineering,62000,80000,N/A
University of California Irvine,Mechanical Engineering,68000,90000,N/A
University of California Los Angeles,Bioengineering,65000,85000,N/A
University of California Los Angeles,Chemical Engineering,70000,95000,N/A
University of California Los Angeles,Civil Engineering,65000,85000,N/A
University of California Los Angeles,Computer Engineering,95000,130000,N/A
University of California Los Angeles,Electrical Engineering,90000,120000,N/A
University of California Los Angeles,Materials Engineering,70000,95000,N/A
University of California Los Angeles,Mechanical Engineering,75000,100000,N/A
